Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.46,.09,-.24,-.43,-.24,-.51,-.64,.48,-.36,-.89,-.14,.06,-.28,***,***,-.31,-.22,-.47
1881,-.94,-.41,-.27,-.14,.11,-1.33,-.51,-.11,-.30,-.33,-.53,.32,-.37,-.39,-.43,-.10,-.65,-.39
1882,.15,-.27,-.06,-.61,-.20,-1.25,-.74,.06,.25,.22,.04,-.49,-.24,-.17,.07,-.29,-.64,.17
1883,-.53,-.78,-.38,-.05,.02,1.14,.27,.30,-.19,-.59,-.52,.21,-.09,-.15,-.60,-.14,.57,-.43
1884,-.37,-.03,.28,-.70,-1.46,-.75,-.88,1.15,.07,-.68,-.50,-1.09,-.41,-.30,-.06,-.63,-.16,-.37
1885,-.43,-.86,-1.05,-.91,-.23,-1.07,-.79,.15,.11,.62,-.08,.20,-.36,-.47,-.79,-.73,-.57,.22
1886,-.16,-.48,-.37,-.53,-.47,-.90,-.52,-.81,-.27,-1.21,-.07,-.81,-.55,-.47,-.15,-.46,-.75,-.51
1887,-.13,-1.31,-.39,-.73,-1.26,-.78,-.55,.21,-.87,-.35,-1.16,-.25,-.63,-.68,-.75,-.79,-.37,-.79
1888,-.20,-.50,-.78,-.15,-.98,-.68,-.42,-.27,-.46,-.27,.17,.23,-.36,-.40,-.32,-.64,-.46,-.18
1889,.12,.29,.07,-.07,.07,-.44,-.66,-.94,-.32,.08,.00,-.08,-.16,-.13,.21,.02,-.68,-.08
1890,-.49,-.74,-.53,-.43,-1.05,-.71,-.87,-.76,-.39,-.36,-.68,-.46,-.62,-.59,-.44,-.67,-.78,-.48
1891,-.99,-1.04,-.63,-.78,-.51,-.83,-1.18,-.92,-.84,-.62,-.29,.05,-.71,-.76,-.83,-.64,-.98,-.58
1892,-.54,-.33,-.34,-.69,-.88,-.97,-.45,-.12,-.82,-.49,-.39,-.41,-.54,-.50,-.27,-.64,-.51,-.56
1893,-.94,-.82,-.74,-.92,-.88,-1.13,-.25,-.55,-.37,-.05,-.12,-.11,-.57,-.60,-.72,-.85,-.64,-.18
1894,-.58,-.62,-.62,-.68,-.94,-.74,-.69,-.50,-.58,.03,.25,-.02,-.47,-.48,-.44,-.75,-.64,-.10
1895,-.33,-.43,-.47,-.57,-.28,-.42,-.84,-.19,-.40,.00,-.25,.17,-.34,-.35,-.26,-.44,-.49,-.22
1896,.03,-.24,-.31,-.25,-.55,-1.00,-.55,-.61,-.18,-.08,-.47,.06,-.35,-.34,-.01,-.37,-.72,-.24
1897,-.07,-.51,-.09,-.11,-.59,-.23,-.21,-.53,-.20,-.26,.23,-.16,-.23,-.21,-.17,-.26,-.32,-.08
1898,-.21,-.39,-.71,-.85,-.91,-.53,-.59,-.48,.00,-.48,-.42,-.17,-.48,-.48,-.25,-.82,-.53,-.30
1899,-.66,-.47,-.38,-.43,-.70,-.84,-.67,-.70,-.18,-.67,-.44,.01,-.51,-.53,-.44,-.50,-.74,-.43
1900,-.37,-.01,-.50,-.17,-.28,-.12,-.54,-.34,-.17,.07,-.14,-.20,-.23,-.21,-.12,-.32,-.34,-.08
1901,-.04,-.22,-.56,-.40,-.26,-.07,-.66,-.39,.14,-.18,.02,-.05,-.22,-.24,-.15,-.40,-.37,-.01
1902,-.43,-.18,-.07,.01,-.18,-.27,-.49,-.75,-.50,-.47,-.39,-.33,-.34,-.31,-.22,-.08,-.51,-.46
1903,-.38,-.47,-.37,-.64,-.41,-.72,-.29,-.37,-.49,-.58,-.58,-.60,-.49,-.47,-.39,-.47,-.46,-.55
1904,-.65,-.88,-.78,-.44,-.82,-.60,-.72,-.65,-.47,-.74,-.41,-.52,-.64,-.65,-.71,-.68,-.66,-.54
1905,-.45,-.79,-.31,-.22,-.39,-.35,-.67,-.32,-.30,-.40,-.25,-.20,-.39,-.41,-.59,-.31,-.45,-.32
1906,.24,.06,-.35,.01,-.26,-.45,-.28,-.36,-.57,-.39,-.61,-.57,-.29,-.26,.04,-.20,-.36,-.52
1907,-.46,-.33,-.53,-.47,-.46,-.68,-.48,-.70,-.55,-.51,-.55,-.73,-.54,-.52,-.45,-.49,-.62,-.54
1908,-.32,-.45,-.44,-.60,-.44,-.72,-.59,-.36,-.21,-.49,-.50,-.35,-.46,-.49,-.50,-.49,-.56,-.40
1909,-.65,-.71,-.45,-.65,-.70,-.48,-.43,-.12,-.25,-.22,-.42,-.46,-.46,-.45,-.57,-.60,-.34,-.30
1910,-.44,-.39,-.59,-.38,-.23,-.36,-.26,-.05,.04,-.51,-.55,-.43,-.35,-.35,-.43,-.40,-.22,-.34
1911,-.53,-.60,-.58,-.64,-.44,-.63,-.27,-.36,-.40,-.26,-.15,-.21,-.42,-.44,-.52,-.55,-.42,-.27
1912,.09,-.16,-.27,-.32,-.32,-.36,-.39,-.40,-.05,-.07,-.32,-.15,-.23,-.23,-.09,-.30,-.38,-.14
1913,-.36,-.36,-.61,-.21,-.59,-.70,.02,-.05,-.08,-.17,-.17,-.01,-.27,-.29,-.29,-.47,-.24,-.14
1914,-.02,-.01,.07,.02,.10,.00,-.22,-.07,.02,.12,-.41,-.17,-.05,-.03,-.01,.07,-.10,-.09
1915,-.19,.14,.06,-.14,-.41,-.48,.01,-.37,.02,-.02,.00,-.16,-.13,-.13,-.07,-.16,-.28,.00
1916,-.27,-.14,-.38,-.30,-.46,-.64,-.54,-.08,-.03,-.11,-.50,-.47,-.33,-.30,-.19,-.38,-.42,-.21
1917,-.47,-.74,-.80,-.51,-.72,-.56,.16,-.50,-.42,-.39,-.34,-.49,-.48,-.48,-.56,-.68,-.30,-.38
1918,-.47,-.74,-.76,-.36,-.92,-.42,-.69,-.60,-.19,-.07,-.14,-.10,-.46,-.49,-.57,-.68,-.57,-.13
1919,-.19,-.09,.12,.04,.00,-.04,.04,-.17,-.33,-.17,-.37,-.02,-.10,-.11,-.13,.05,-.06,-.29
1920,-.13,-.31,-.36,-.22,-.38,-.51,-.31,-.17,-.03,-.45,-.16,-.24,-.27,-.25,-.15,-.32,-.33,-.22
1921,-.40,-.18,-.27,-.34,-.12,-.15,-.14,-.65,-.09,-.09,-.28,-.21,-.24,-.25,-.28,-.24,-.31,-.15
1922,-.22,-.21,-.39,-.11,-.60,-.55,-.05,-.28,-.05,-.30,-.14,-.18,-.26,-.26,-.21,-.36,-.29,-.16
1923,-.31,-.01,-.17,-.34,-.29,-.31,-.73,-.63,-.54,-.41,-.25,-.29,-.36,-.35,-.17,-.27,-.56,-.40
1924,-.24,-.45,-.26,-.69,-.43,-.18,-.24,-.26,-.03,-.20,-.36,-.32,-.31,-.30,-.33,-.46,-.23,-.20
1925,-.61,-.43,-.39,-.24,-.40,-.57,-.62,-.16,-.65,-.60,-.23,.06,-.40,-.43,-.45,-.34,-.45,-.49
1926,-.08,.19,-.06,-.12,-.44,-.29,-.26,.00,.01,-.24,-.08,-.20,-.13,-.11,.06,-.21,-.18,-.10
1927,-.22,-.30,-.29,-.32,-.48,-.41,-.26,-.46,-.30,-.08,.00,-.13,-.27,-.28,-.24,-.36,-.37,-.13
1928,-.25,-.17,.02,.13,-.70,-.84,-.26,-.04,.04,-.10,.05,-.17,-.19,-.19,-.18,-.19,-.38,.00
1929,-.16,-.19,-.54,-.54,-.59,-.57,-.51,-.58,-.32,-.04,-.11,-.53,-.39,-.36,-.17,-.56,-.55,-.16
1930,-.29,-.23,-.33,-.35,-.20,-.38,-.45,-.55,-.37,-.55,-.10,-.19,-.33,-.36,-.35,-.29,-.46,-.34
1931,-.27,-.10,-.11,-.42,-.19,-.32,-.09,-.08,-.46,-.34,-.62,-.06,-.25,-.27,-.19,-.24,-.16,-.47
1932,.01,-.28,-.25,-.06,-.28,-.74,-.37,-.40,-.13,-.14,.06,-.21,-.23,-.22,-.11,-.20,-.50,-.07
1933,-.26,-.19,-.17,-.23,-.12,-.30,-.34,-.32,-.11,-.12,-.48,-.54,-.26,-.24,-.22,-.17,-.32,-.23
1934,-.19,-.62,-.46,-.43,-.14,-.30,-.06,.05,-.17,-.32,-.32,-.30,-.27,-.29,-.45,-.34,-.10,-.27
1935,-.23,-.18,-.15,-.64,-.36,-.42,-.52,-.48,-.66,-.18,-.21,-.18,-.35,-.36,-.24,-.38,-.48,-.35
1936,-.27,-.26,-.21,-.11,-.45,-.52,.07,-.14,-.16,-.07,-.09,-.03,-.19,-.20,-.24,-.26,-.19,-.11
1937,-.33,-.26,-.22,-.36,-.20,-.30,-.43,-.16,-.01,-.07,.21,-.14,-.19,-.18,-.21,-.26,-.30,.04
1938,-.30,-.32,-.11,-.01,.10,-.21,-.06,-.38,-.16,.07,-.19,-.10,-.14,-.14,-.26,-.01,-.22,-.09
1939,-.21,-.41,-.45,-.37,-.03,-.23,-.34,-.53,-.41,-.25,-.44,-.23,-.33,-.31,-.24,-.29,-.36,-.37
1940,-.12,-.14,.01,-.34,-.06,.17,.21,.15,.19,-.07,-.08,.19,.01,-.02,-.16,-.13,.18,.01
1941,-.07,-.03,-.17,-.03,.13,.08,.25,-.02,-.27,-.08,-.02,.12,-.01,.00,.03,-.02,.10,-.12
1942,.21,.14,-.01,-.04,-.02,.03,.01,.31,.07,-.24,.02,-.02,.04,.05,.16,-.02,.12,-.05
